SKU,Category,New.Category,EDC.Available
10299013,A,A,0
10592000,A,A,1
10131568,A,A,1
10468254,A,A,1
10197632,A,A,1
10468242,A,A,1
10503531,A,A,1
10592001,A,A,1
10131611,A,A,0
10131569,A,A,1
10531334,A,A,1
10583800,A,A,0
10503537,A,A,1
10503538,A,A,1
10592006,A,A,1
10187423,A,A,1
10591630,A,A,1
10592005,A,A,1
10392851,A,A,1
10228808,A,A,1
10392856,A,A,1
10435559,A,A,1
10276631,A,A,1
10513758,A,A,1
10442456,A,A,1
10555399,A,A,1
10174559,A,A,1
10392848,A,A,1
10392885,A,A,1
10392855,A,A,1
10473524,A,A,1
10437751,A,A,1
10572687,A,A,1
10555398,A,A,1
10592003,A,A,1
10496590,A,A,1
10375477,A,A,1
10555396,A,A,1
10503498,A,A,1
10392858,A,A,1
10473166,A,A,1
10392853,A,A,1
10392846,A,A,1
10597758,A,A,1
10150856,A,A,1
10409112,A,A,1
10392849,A,A,1
10392845,A,A,1
10332820,A,A,1
10392857,A,A,1
10392850,A,A,1
10209995,A,A,1
10159429,A,A,0
10468325,A,A,1
10392854,A,A,1
10327078,A,A,1
10152571,A,A,1
10504534,A,A,1
10132811,A,A,1
10142958,A,A,1
10327070,A,A,1
10468367,A,A,1
10125028,A,A,1
10226846,A,A,1
10240782,A,A,0
10392847,A,A,1
10521654,A,A,1
10356421,A,A,1
10122060,A,A,1
10229858,A,A,1
10146568,A,A,1
10468366,A,A,1
10537276,A,A,1
10553834,A,A,1
10023428,A,A,1
10392852,A,A,1
10472721,A,A,1
10468371,A,A,1
10403377,A,A,1
10411719,A,A,1
10483891,A,A,1
10487716,A,A,1
10232775,A,A,1
10094698,A,A,1
10101746,A,A,1
10537339,A,A,0
10542383,A,A,1
10252263,A,A,1
10043431,A,A,0
10553652,A,A,1
10108918,A,A,1
10409691,A,A,1
10483890,A,A,1
10467057,A,A,1
10536723,A,A,1
10333091,A,A,1
10468368,A,A,1
10299778,A,A,1
10375469,A,A,1
10122057,A,A,1
10200699,A,A,1
10591998,A,A,1
10166397,A,A,1
10468339,A,A,1
10402248,A,A,1
10204595,A,A,1
10536003,A,A,1
10487725,A,A,1
10030450,A,A,1
10174362,A,A,1
10164326,A,A,1
10114175,A,A,1
10472720,A,A,1
10467527,A,A,1
10159051,A,A,1
10345819,A,A,1
10229048,A,A,1
10618976,A,A,1
10487720,A,A,1
10293367,A,A,1
10047538,A,A,1
10472718,A,A,1
10203512,A,A,1
10417331,A,A,1
10527482,A,A,1
10146227,A,A,1
10101747,A,A,1
10332818,A,A,1
10299780,A,A,1
10360333,A,A,1
10429227,A,A,1
10166392,A,A,1
10537338,A,A,0
10143299,A,A,1
10164310,A,A,1
10467879,A,A,1
10611592,A,A,0
10536721,A,A,1
10487722,A,A,1
10375436,A,A,1
10581572,A,A,1
10057193,A,A,1
10414808,A,A,1
10385420,A,A,1
10288146,A,A,1
10136302,A,A,1
10212675,A,A,1
10575615,A,A,1
10166398,A,A,1
10108919,A,A,1
10349078,A,A,1
10131382,A,A,1
10437729,A,A,1
10153579,A,A,1
10414814,A,A,1
10316567,A,A,1
10317413,A,A,1
10302810,A,A,1
10454439,A,A,1
10156196,A,A,1
10187812,A,A,1
10340039,A,A,1
10178660,A,A,1
10429355,A,A,1
10122056,A,A,1
10145801,A,A,1
10507909,A,A,1
10164333,A,A,1
10357776,A,A,1
10268683,A,A,1
10002329,A,A,1
10332331,A,A,1
10622005,A,A,1
10006150,A,A,1
10007019,A,A,1
10527491,A,A,1
10212678,A,A,1
10345813,A,A,1
10462667,A,A,1
10132933,A,A,1
10481004,A,A,1
10426467,A,A,1
10031900,A,A,1
10494330,A,A,1
10467877,A,A,1
10536724,A,A,1
10527481,A,A,1
10111151,A,A,1
10166390,A,A,1
10122061,A,A,1
10525014,A,A,1
10049607,A,A,1
10047537,A,A,1
10317961,A,A,1
10274969,A,A,1
10012259,A,A,1
10574554,A,A,1
10484268,A,A,1
10014390,A,A,1
