Zip,State,Latitude,Longitude,3 pin
71937,AR,34.398483,-94.39398,719
72044,AR,35.624351,-92.16056,720
56171,MN,43.660847,-94.74357,561
49430,MI,43.010337,-85.89754,494
52585,IA,41.194129,-91.98027,525
47520,IN,37.934311,-86.67821,475
49464,MI,42.829252,-85.99621,494
49919,MI,46.559834,-88.52201,499
52401,IA,41.97545,-91.65912,524
35979,AL,34.831242,-85.61564,359
36350,AL,31.319083,-85.48718,363
38401,TN,35.619784,-87.03565,384
41065,KY,38.3481,-83.718626,410
55302,MN,45.246631,-94.11692,553
29607,SC,34.825592,-82.34099,296
31150,GA,33.844371,-84.47405,311
31646,GA,30.518903,-82.08063,316
31826,GA,32.803518,-84.69384,318
17932,PA,40.649109,-76.503339,179
18947,PA,40.426391,-75.11842,189
20227,DC,38.893311,-77.014647,202
14043,NY,42.904958,-78.7006,140
15278,PA,40.434436,-80.024817,152
15482,PA,40.062849,-79.76338,154
33446,FL,26.452473,-80.16509,334
27915,NC,35.354252,-75.50417,279
23328,VA,36.7085,-76.278531,233
24062,VA,37.174227,-80.395698,240
26253,WV,38.827205,-79.89057,262
2472,MA,42.371296,-71.18196,247
7309,NJ,40.73276,-74.075485,730
623,PR,18.08643,-67.15222,623
52163,IA,43.21661,-92.09219,521
52216,IA,41.888182,-91.04567,522
53031,WI,43.639395,-87.915705,530
60651,IL,41.901485,-87.74055,606
62090,IL,38.67065,-90.17052,620
62420,IL,39.299447,-87.99863,624
64503,MO,39.741794,-94.83237,645
65325,MO,38.451021,-93.19156,653
65638,MO,36.851944,-92.33081,656
74801,OK,35.327341,-96.93544,748
75475,TX,33.485315,-96.25525,754
75757,TX,32.136787,-95.3671,757
63179,MO,38.6531,-90.243462,631
63436,MO,39.501697,-91.5367,634
57440,SD,44.857069,-98.27191,574
72112,AR,35.586065,-91.24695,721
72714,AR,36.458041,-94.23551,727
99671,AK,63.511893,-162.27463,996
97304,OR,44.970181,-123.08033,973
97414,OR,42.977978,-124.1716,974
81148,CO,37.171583,-105.98648,811
81423,CO,38.082231,-108.2586,814
81505,CO,39.112514,-108.60506,815
81624,CO,39.220166,-107.93414,816
82718,WY,43.939968,-105.52445,827
89317,NV,38.835421,-115.02628,893
92232,CA,33.026203,-115.284581,922
93227,CA,36.357151,-119.425371,932
93234,CA,36.209815,-120.0847,932
93529,CA,37.765218,-119.07769,935
93761,CA,36.746375,-119.639658,937
94931,CA,38.328614,-122.71044,949
95322,CA,37.187494,-121.03232,953
30334,GA,33.702657,-84.439127,303
36879,AL,32.733511,-85.55322,368
38017,TN,35.057224,-89.67417,380
43984,OH,40.29649,-81.102502,439
46787,IN,41.080236,-85.62796,467
31606,GA,30.802411,-83.19624,316
55992,MN,44.297157,-92.68312,559
13827,NY,42.120274,-76.25874,138
14739,NY,42.192384,-78.14308,147
15227,PA,40.377869,-79.97516,152
16877,PA,40.721787,-78.08561,168
31732,GA,31.169794,-85.0557,317
32621,FL,29.447069,-82.60452,326
