,Cust_State,Sales,Longitude,Latitude,Units,Orders,Cluster
0,N,553174.1689685573,-81.29236847276435,43.03596163954506,78635.0,47264.0,0.0
1,M,439161.10000386176,-79.39404820838084,43.71016268241179,67745.0,43591.0,0.0
2,L,823675.2738437933,-79.51598122955812,43.63139700394306,117877.0,74138.0,0.0
3,K,418558.39560074673,-76.24441797951083,45.019414833389675,59985.0,38214.0,0.0
4,H,171045.82707334374,-73.66122829475738,45.53345657830384,29027.0,19317.0,0.0
5,J,301654.0128169541,-73.8372403950676,45.71111932997852,54814.0,34186.0,0.0
6,G,105662.22888536606,-70.97736458090661,47.26156010255076,19247.0,11922.0,0.0
7,A,124432.87005592321,-54.554006191385895,48.1561678680105,14774.0,8275.0,0.0
8,C,30013.468517333007,-63.328980684872164,46.29607199233165,3930.0,2272.0,0.0
9,B,185686.54796722552,-62.62056004451238,45.23485975403013,25138.0,15034.0,0.0
10,E,127835.64327074707,-65.96721506740217,46.28822381861593,17359.0,10468.0,0.0
11,ME,421593.16979491373,-69.43483486806878,44.58072544359468,70115.0,32451.0,0.0
12,NH,617364.2003637285,-71.57137717704914,43.386142881967224,100982.0,45477.0,0.0
13,VT,235199.17965688588,-72.6428141871166,44.03341062269943,42311.0,19378.0,0.0
14,MA,3137651.469051504,-71.4705323798956,42.23348925979113,529006.0,248103.0,0.0
15,RI,396254.46004061005,-71.50914851063831,41.70335632978724,64305.0,29970.0,0.0
16,CT,1557824.1808941835,-72.81355222573353,41.55762493453723,266011.0,120626.0,0.0
17,NY,8822320.93015047,-75.1173882661115,42.19682294344582,1503834.0,708742.0,0.0
18,PA,5237109.741197704,-77.55345841780517,40.627039257382044,854839.0,397069.0,1.0
19,NJ,4163252.841585474,-74.51614112204723,40.38912234514433,703365.0,312992.0,1.0
20,DE,534011.590128915,-75.52822093137257,39.288821117647075,86761.0,39564.0,1.0
21,MD,2672823.2510396186,-76.76812641666675,39.05384256089741,440895.0,205199.0,1.0
22,DC,284057.11987965106,-77.01958254710146,38.89531540217382,48292.0,23138.0,1.0
23,WV,594981.3003463479,-80.98254601914896,38.4645907,91038.0,42916.0,1.0
24,VA,3363780.702402597,-78.22690068941179,37.712614309019635,522375.0,238975.0,1.0
25,NC,3289398.412371238,-79.53905628147477,35.572244836331,518912.0,231364.0,1.0
26,SC,1442308.8018813864,-81.03302287184111,33.95816643140794,216092.0,95485.0,2.0
27,GA,2923990.4936011145,-83.69556997085432,33.04387886633165,438861.0,187989.0,2.0
28,FL,6109935.404313473,-82.02278675663138,28.16006839920429,954049.0,415758.0,2.0
29,PR,0.0,-66.30058949999999,18.279596878640763,0.0,0.0,2.0
30,VI,0.0,-64.80701843749999,17.992227749999998,0.0,0.0,2.0
31,AL,1149901.0715611775,-86.84384983545763,32.85948280185404,170029.0,75421.0,2.0
32,MS,576587.2306956808,-89.70477279128853,32.82185521415607,86623.0,38809.0,2.0
