month,State,Total Sales Demand,Total Units Demanded per SKU,Order ID,Country,Cust_State
1,A0A,359.4485,28,16,CA,A
2,A0A,373.0668,58,26,CA,A
3,A0A,1010.9243,117,65,CA,A
4,A0A,2925.627,448,283,CA,A
5,A0A,317.1347,2,2,CA,A
10,A0A,97.2509,2,2,CA,A
11,A0A,2915.9163,121,51,CA,A
12,A0A,1541.3774,122,42,CA,A
1,A0B,199.2148,24,15,CA,A
2,A0B,136.3143,16,11,CA,A
3,A0B,228.3649,54,18,CA,A
4,A0B,1315.4548,232,167,CA,A
10,A0B,299.3687,19,9,CA,A
11,A0B,902.51,94,29,CA,A
12,A0B,560.7962,21,6,CA,A
1,A0C,50.9496,11,8,CA,A
2,A0C,95.7391,25,5,CA,A
3,A0C,131.326,33,23,CA,A
4,A0C,797.108,90,50,CA,A
10,A0C,60.0796,1,1,CA,A
11,A0C,1029.6665,83,35,CA,A
12,A0C,373.1285,14,13,CA,A
1,A0E,422.8492,56,46,CA,A
2,A0E,193.427,44,11,CA,A
3,A0E,581.2969,104,64,CA,A
4,A0E,984.7325,156,104,CA,A
10,A0E,188.6058,6,6,CA,A
11,A0E,1832.6165,85,60,CA,A
12,A0E,460.0717,55,33,CA,A
1,A0G,645.559,60,42,CA,A
2,A0G,81.3321,18,9,CA,A
3,A0G,236.9339,62,38,CA,A
4,A0G,2677.0791,436,263,CA,A
9,A0G,35.4593,2,1,CA,A
10,A0G,509.2316,92,27,CA,A
11,A0G,2422.4633,211,63,CA,A
12,A0G,1388.8619,135,55,CA,A
1,A0H,170.634,17,11,CA,A
2,A0H,47.571,3,3,CA,A
3,A0H,150.0849,16,14,CA,A
4,A0H,735.5428,96,80,CA,A
11,A0H,1425.8527,130,62,CA,A
12,A0H,169.9664,19,8,CA,A
1,A0J,505.5757,50,19,CA,A
2,A0J,219.0753,1,1,CA,A
3,A0J,167.7025,18,14,CA,A
4,A0J,551.0788,70,47,CA,A
10,A0J,99.6879,7,7,CA,A
11,A0J,725.7412,23,15,CA,A
12,A0J,368.2266,22,18,CA,A
1,A0K,1022.7424,102,58,CA,A
2,A0K,676.6155,136,72,CA,A
3,A0K,1005.1939,132,104,CA,A
4,A0K,2781.9648,378,269,CA,A
10,A0K,997.6778,58,31,CA,A
11,A0K,1471.6067,96,68,CA,A
12,A0K,521.3583,64,37,CA,A
1,A0L,307.1515,64,35,CA,A
2,A0L,173.9732,36,19,CA,A
3,A0L,82.6579,23,9,CA,A
4,A0L,892.6701,65,31,CA,A
11,A0L,362.935,12,8,CA,A
12,A0L,653.8242,10,10,CA,A
1,A0M,123.6203,26,19,CA,A
2,A0M,45.3199,1,1,CA,A
3,A0M,121.2568,18,16,CA,A
4,A0M,170.7135,29,24,CA,A
11,A0M,232.3309,18,11,CA,A
12,A0M,220.4559,10,6,CA,A
1,A0N,58.7875,7,7,CA,A
2,A0N,36.2392,3,3,CA,A
3,A0N,94.5397,25,7,CA,A
4,A0N,304.1328,46,31,CA,A
10,A0N,19.4982,6,4,CA,A
11,A0N,16.4358,18,1,CA,A
12,A0N,204.8709,14,5,CA,A
1,A0P,194.9181,62,15,CA,A
2,A0P,235.7933,12,8,CA,A
3,A0P,533.3608,87,57,CA,A
4,A0P,2354.3855,357,260,CA,A
9,A0P,51.395,5,2,CA,A
10,A0P,483.287,70,33,CA,A
11,A0P,317.8504,45,27,CA,A
12,A0P,193.4346,6,4,CA,A
3,A0R,161.2284,24,18,CA,A
4,A0R,720.045,97,64,CA,A
10,A0R,21.0154,2,1,CA,A
12,A0R,125.7113,7,5,CA,A
1,A1A,566.9792,210,58,CA,A
2,A1A,142.1015,35,7,CA,A
3,A1A,594.6207,57,32,CA,A
4,A1A,2484.2079,424,274,CA,A
9,A1A,73.0974,20,2,CA,A
11,A1A,2091.445,73,36,CA,A
12,A1A,1275.235,251,35,CA,A
1,A1B,22.7136,5,1,CA,A
2,A1B,45.2516,15,4,CA,A
3,A1B,537.2401,94,37,CA,A
4,A1B,2091.5463,294,192,CA,A
9,A1B,15.6186,7,2,CA,A
10,A1B,428.5262,36,8,CA,A
11,A1B,1116.8006,14,13,CA,A
12,A1B,591.8907,29,8,CA,A
1,A1C,154.9879,10,8,CA,A
2,A1C,38.0068,9,4,CA,A
3,A1C,630.5107,103,67,CA,A
4,A1C,1319.532,178,121,CA,A
10,A1C,12.3732,3,1,CA,A
11,A1C,703.2179,22,20,CA,A
12,A1C,106.1283,8,6,CA,A
1,A1E,14.9446,5,5,CA,A
2,A1E,132.1674,10,1,CA,A
3,A1E,633.1746,141,56,CA,A
4,A1E,1871.0971,322,235,CA,A
10,A1E,36.0222,6,1,CA,A
11,A1E,1822.4611,47,29,CA,A
12,A1E,429.4298,53,27,CA,A
1,A1G,32.259,6,1,CA,A
3,A1G,57.7228,14,14,CA,A
4,A1G,381.1811,54,47,CA,A
11,A1G,680.2006,9,7,CA,A
1,A1H,29.1823,1,1,CA,A
2,A1H,117.4351,15,14,CA,A
3,A1H,77.0338,13,12,CA,A
4,A1H,343.7861,38,25,CA,A
10,A1H,45.0653,4,1,CA,A
11,A1H,205.4253,3,3,CA,A
12,A1H,28.1584,10,1,CA,A
1,A1K,63.1755,12,7,CA,A
2,A1K,7.547,1,1,CA,A
3,A1K,89.2438,21,15,CA,A
4,A1K,794.7705,127,107,CA,A
9,A1K,26.031,35,2,CA,A
11,A1K,400.4336,6,6,CA,A
12,A1K,860.0507,16,10,CA,A
1,A1L,55.3342,9,5,CA,A
2,A1L,169.5246,10,5,CA,A
3,A1L,655.9693,41,34,CA,A
4,A1L,3073.9195,349,245,CA,A
10,A1L,240.791,22,10,CA,A
11,A1L,1990.8261,177,71,CA,A
12,A1L,1288.9987,58,31,CA,A
1,A1M,74.2941,16,6,CA,A
3,A1M,289.9878,74,45,CA,A
4,A1M,958.2811,146,87,CA,A
10,A1M,84.8429,24,3,CA,A
11,A1M,273.0249,22,11,CA,A
12,A1M,337.0339,34,17,CA,A
1,A1N,30.3638,8,2,CA,A
2,A1N,86.6131,6,3,CA,A
3,A1N,314.1257,61,27,CA,A
4,A1N,2512.5577,374,241,CA,A
9,A1N,39.0277,5,2,CA,A
10,A1N,194.6596,4,4,CA,A
11,A1N,1701.3161,47,30,CA,A
12,A1N,1502.0834,89,42,CA,A
1,A1S,36.874,6,3,CA,A
2,A1S,25.3531,4,1,CA,A
3,A1S,24.599,2,2,CA,A
4,A1S,254.2362,47,38,CA,A
11,A1S,553.2608,9,9,CA,A
12,A1S,147.5303,40,4,CA,A
1,A1V,81.1079,20,5,CA,A
2,A1V,320.8497,32,21,CA,A
3,A1V,255.0737,56,51,CA,A
4,A1V,1187.4441,200,152,CA,A
10,A1V,126.6779,29,15,CA,A
11,A1V,997.8823,52,46,CA,A
12,A1V,1027.7584,40,21,CA,A
1,A1W,99.0614,29,4,CA,A
3,A1W,647.2568,98,47,CA,A
4,A1W,1303.4459,243,161,CA,A
11,A1W,1566.161,20,19,CA,A
12,A1W,420.3579,44,15,CA,A
1,A1X,46.104,6,6,CA,A
3,A1X,396.5349,93,63,CA,A
4,A1X,1583.8288,273,209,CA,A
10,A1X,182.8072,11,10,CA,A
11,A1X,1598.9129,136,24,CA,A
12,A1X,361.5714,53,12,CA,A
2,A1Y,29.5912,3,3,CA,A
3,A1Y,60.9454,9,6,CA,A
4,A1Y,172.7274,42,31,CA,A
10,A1Y,308.5995,8,8,CA,A
11,A1Y,215.2635,37,10,CA,A
12,A1Y,173.1591,1,1,CA,A
1,A2A,75.3014,13,7,CA,A
2,A2A,142.9098,30,6,CA,A
3,A2A,337.1584,74,42,CA,A
4,A2A,565.0088,79,51,CA,A
9,A2A,32.183,14,9,CA,A
10,A2A,219.4757,25,4,CA,A
11,A2A,725.6942,52,26,CA,A
12,A2A,120.7947,11,7,CA,A
3,A2B,39.4344,13,3,CA,A
4,A2B,278.1129,11,9,CA,A
11,A2B,296.3244,8,7,CA,A
12,A2B,262.1286,11,11,CA,A
1,A2H,241.9032,39,26,CA,A
2,A2H,688.6898,37,30,CA,A
3,A2H,1176.6025,263,154,CA,A
4,A2H,2323.6066,433,287,CA,A
9,A2H,9,2,1,CA,A
