month,State,New.Category,Total Sales Demand,Total Units Demanded per SKU,Order ID,Country,Custom_State
1,A0A,A,344.3652,25,5,CA,A
1,A0A,Non-A,0,1,1,CA,A
1,A0A,Seasonal,15.0833,2,1,CA,A
1,A0B,A,116.6521,17,2,CA,A
1,A0B,Non-A,82.5627,6,1,CA,A
1,A0B,Seasonal,0,1,1,CA,A
1,A0C,A,50.9496,6,2,CA,A
1,A0C,Non-A,0,5,1,CA,A
1,A0E,A,357.3161,47,6,CA,A
1,A0E,Non-A,65.5331,9,4,CA,A
1,A0G,A,627.2913,43,9,CA,A
1,A0G,Non-A,18.2677,11,5,CA,A
1,A0G,Seasonal,0,6,1,CA,A
1,A0H,A,124.4991,13,4,CA,A
1,A0H,Non-A,46.1349,4,2,CA,A
1,A0J,A,465.1946,38,5,CA,A
1,A0J,Non-A,40.3811,12,3,CA,A
1,A0K,A,811.744,64,14,CA,A
1,A0K,Non-A,210.9984,38,6,CA,A
1,A0L,A,307.1515,59,6,CA,A
1,A0L,Non-A,0,5,2,CA,A
1,A0M,A,66.9251,18,3,CA,A
1,A0M,Non-A,56.6952,6,1,CA,A
1,A0M,Seasonal,0,2,1,CA,A
1,A0N,A,58.7875,6,2,CA,A
1,A0N,Non-A,0,1,1,CA,A
1,A0P,A,172.9939,61,4,CA,A
1,A0P,Non-A,21.9242,1,1,CA,A
1,A1A,A,391.6312,186,2,CA,A
1,A1A,Non-A,175.348,24,4,CA,A
1,A1B,Non-A,22.7136,5,1,CA,A
1,A1C,A,129.1899,2,2,CA,A
1,A1C,Non-A,25.798,8,2,CA,A
1,A1E,Non-A,14.9446,5,1,CA,A
1,A1G,Non-A,32.259,6,1,CA,A
1,A1H,A,29.1823,1,1,CA,A
1,A1K,A,0,9,1,CA,A
1,A1K,Non-A,63.1755,3,1,CA,A
1,A1L,A,55.3342,9,1,CA,A
1,A1M,A,68.6484,11,1,CA,A
1,A1M,Non-A,5.6457,1,1,CA,A
1,A1M,Seasonal,0,4,1,CA,A
1,A1N,A,30.3638,8,2,CA,A
1,A1S,A,36.874,6,1,CA,A
1,A1V,A,81.1079,17,2,CA,A
1,A1V,Seasonal,0,3,1,CA,A
1,A1W,A,99.0614,29,3,CA,A
1,A1X,Non-A,0,2,1,CA,A
1,A1X,Seasonal,46.104,4,1,CA,A
1,A2A,A,27.6283,11,1,CA,A
1,A2A,Non-A,47.6731,1,1,CA,A
1,A2A,Seasonal,0,1,1,CA,A
1,A2H,A,134.5357,18,5,CA,A
1,A2H,Non-A,107.3675,21,3,CA,A
1,A2N,A,72.2712,16,3,CA,A
1,A2N,Non-A,266.8092,8,2,CA,A
1,A2V,A,73.2771,28,2,CA,A
1,A2V,Non-A,0,6,1,CA,A
1,A5A,A,12.622,3,1,CA,A
1,A8A,A,49.1575,11,2,CA,A
1,AK,A,4638.82,1368,88,US,AK
1,AK,Non-A,2498.5,249,42,US,AK
1,AK,Seasonal,2296.36,394,45,US,AK
1,AL,A,47312.59,7878,1303,US,AL
1,AL,Non-A,13056.45,2523,566,US,AL
1,AL,Seasonal,20575.54,4156,684,US,AL
1,AR,A,25059.59,4278,711,US,AR
1,AR,Non-A,7840,1324,315,US,AR
