,month,State,New.Category,Total Sales Demand,Total Units Demanded per SKU,Order ID,Country,Custom_State,Cluster,Cust_State
0,1,A0A,A,344.3652,25,5,CA,A,0.0,A
1,1,A0A,Non-A,0.0,1,1,CA,A,0.0,A
2,1,A0A,Seasonal,15.0833,2,1,CA,A,0.0,A
3,1,A0B,A,116.6521,17,2,CA,A,0.0,A
4,1,A0B,Non-A,82.5627,6,1,CA,A,0.0,A
5,1,A0B,Seasonal,0.0,1,1,CA,A,0.0,A
6,1,A0C,A,50.9496,6,2,CA,A,0.0,A
7,1,A0C,Non-A,0.0,5,1,CA,A,0.0,A
8,1,A0E,A,357.3161,47,6,CA,A,0.0,A
9,1,A0E,Non-A,65.5331,9,4,CA,A,0.0,A
10,1,A0G,A,627.2913,43,9,CA,A,0.0,A
11,1,A0G,Non-A,18.2677,11,5,CA,A,0.0,A
12,1,A0G,Seasonal,0.0,6,1,CA,A,0.0,A
13,1,A0H,A,124.4991,13,4,CA,A,0.0,A
14,1,A0H,Non-A,46.1349,4,2,CA,A,0.0,A
15,1,A0J,A,465.1946,38,5,CA,A,0.0,A
16,1,A0J,Non-A,40.3811,12,3,CA,A,0.0,A
17,1,A0K,A,811.7439999999999,64,14,CA,A,0.0,A
18,1,A0K,Non-A,210.9984,38,6,CA,A,0.0,A
19,1,A0L,A,307.1515,59,6,CA,A,0.0,A
20,1,A0L,Non-A,0.0,5,2,CA,A,0.0,A
21,1,A0M,A,66.9251,18,3,CA,A,0.0,A
22,1,A0M,Non-A,56.6952,6,1,CA,A,0.0,A
23,1,A0M,Seasonal,0.0,2,1,CA,A,0.0,A
24,1,A0N,A,58.7875,6,2,CA,A,0.0,A
25,1,A0N,Non-A,0.0,1,1,CA,A,0.0,A
26,1,A0P,A,172.9939,61,4,CA,A,0.0,A
27,1,A0P,Non-A,21.9242,1,1,CA,A,0.0,A
28,1,A1A,A,391.6312,186,2,CA,A,0.0,A
29,1,A1A,Non-A,175.34799999999998,24,4,CA,A,0.0,A
30,1,A1B,Non-A,22.7136,5,1,CA,A,0.0,A
31,1,A1C,A,129.1899,2,2,CA,A,0.0,A
