Store ID,Store Site,Street Address,City,ST,Postal Code,Gross Area,Sales Area,Staging,Mezzanine,Staging + Mezzanine,STORE,STORE_NAME,STORE_NAME10,STORE_NAME3,STORE_CLASS,STORE_MGR_NAME,STORE_OPEN_DATE,STORE_CLOSE_DATE,PHONE_NUMBER,TOTAL_SQUARE_FT,SELLING_SQUARE_FT,CHANNEL_ID,MALL_NAME,DISTRICT,DEFAULT_WH,Pincode,CURRENCY_CODE,INTEGRATED_POS_IND,ORIG_CURRENCY_CODE,Longitude,Latitude
5170,LA-MISSION VIEJO,25462 El Paseo,Mission Viejo,CA,92691,42251,18816,5317,0,5317,5170,LA-MISSION VIEJO,5170,LA-,B,UNKNOWN,07-03-19,,(949) 506-1119,42251,18816,1,,120,4,,USD,Y,USD,-117.66681,33.611272
1035,LI-MASSAPEQUA,5500 Sunrise Hwy,Massapequa,NY,11758,42202,19309,17690,0,17690,1035,LI-MASSAPEQUA,1035,LI-,C,JOE SANPIETRO,09-07-10,,516-541-0489,45068,19309,1,,304,8,,USD,Y,USD,-73.46289,40.68085
5806,ANCHORAGE,8571 Old Seward Hwy,Anchorage,AK,99515,40020,24308,12460,1519,13979,5806,ANCHORAGE,5806,ANC,A,GAIL HILLI,27-02-05,,907-336-8600,39161,24308,1,,110,2,,USD,Y,USD,-149.88852,61.122943
9440,TAMPA-CARROLLWOOD,14829 N Dale Mabry Hwy,Carrollwood,FL,33618,37670,20956,4900,775,5675,9440,TAMPA-CARROLLWOOD,9440,TAM,E,DOUGLAS A DAVIS,18-08-97,,813-960-3002,37670,28700,1,,411,7,,USD,Y,USD,-82.49392,28.071502
9426,BALT-GLEN BURNIE,16 Mountain Rd,Glen Burnie,MD,21060,37509,21874,9250,0,9250,9426,BALT-GLEN BURNIE,9426,GLN,E,JOHN R ROTH,09-06-94,,410-766-0720,37509,30000,1,,319,8,,USD,Y,USD,-76.59444,39.162225
1081,BOS-CAMBRIDGE,37 White St,Cambridge,MA,2140,37500,22599,5331,0,5331,1081,BOS-CAMBRIDGE,1081,BOS,C,UNKNOWN,05-10-12,,617-499-0925,37407,21523,1,,312,8,,USD,Y,USD,-71.12837,42.393327
9188,ATL-KENNESAW,"860 Cobb Place Blvd, Ste 140",Kennesaw,GA,30144,35535,17986,14648,0,14648,9188,ATL-KENNESAW,9188,ATL,C,SCOTT QUINTANELLA,22-04-11,,770-218-1348,35850,17986,1,,417,7,,USD,Y,USD,-84.59706,34.038949
8808,"DC-STERLING, VA",46301 Potomac Run Plaza Unit 180,Sterling,VA,20164,35333,29437,2897,0,2897,8808,"DC-STERLING, VA",8808,DCS,C,SUSAN F MADDEN,28-08-99,,703-430-8645,35620,29378,1,,315,8,,USD,Y,USD,-77.39295,39.011909
8814,BALT-BEL AIR,640 Marketplace Dr,Bel Air,MD,21014,35000,28345,2910,0,2910,8814,BALT-BEL AIR,8814,BAL,A,THOMAS W JOHNSON,31-07-99,,410-420-2533,35671,28813,1,,319,8,,USD,Y,USD,-76.34957,39.536057
8815,BALT-ELLICOTT CITY,4360 Montgomery Rd,Ellicott City,MD,21043,34954,28133,2730,0,2730,8815,BALT-ELLICOTT CITY,8815,BAL,A,MICHAEL E GOLEC,17-07-99,,410-480-8140,35090,28155,1,,319,8,,USD,Y,USD,-76.8006,39.254356
6001,"GREENVILLE, SC",20 Haywood Rd,Greenville,SC,29607,34577,20817,5373,0,5373,6001,"GREENVILLE, SC",6001,GRE,B,STEVEN KELLY ROSE,09-10-96,,864-987-9474,34642,20816,1,,420,7,,USD,Y,USD,-82.34099,34.825592
5016,"LAFAYETTE, LA",5624 Johnston St,Lafayette,LA,70503,34458,19557,4343,0,4343,5016,"LAFAYETTE, LA",5016,LAF,C,KELLY PRIMEAUX,09-09-11,,337-216-9477,34458,19557,1,,415,1,,USD,Y,USD,-92.04706,30.185867
9025,NYC-MANHATTAN/COLUMBUS AVE,808 Columbus Ave,New York,NY,10025,34424,19572,364,0,364,9025,NYC-MANHATTAN/COLUMBUS AVE,9025,NYC,C,SEBASTIAN BLAKE,17-10-09,,212-865-0813,20534,15024,1,,302,8,,USD,Y,USD,-73.96811,40.798502
